epoch,batch,loss,accuracy
0,5,0.6947,0.5332
0,10,0.6814,0.5828
0,15,0.6692,0.5961
0,20,0.6654,0.5934
0,25,0.6558,0.6039
0,30,0.6593,0.6105
0,35,0.6490,0.6293
0,40,0.6433,0.6301
0,45,0.6394,0.6320
0,50,0.6414,0.6363
0,55,0.6393,0.6395
0,60,0.6494,0.6316
0,65,0.6405,0.6348
0,70,0.6223,0.6477
0,75,0.6311,0.6391
0,80,0.6274,0.6500
0,85,0.6335,0.6379
0,90,0.6181,0.6492
0,95,0.6151,0.6641
0,100,0.6072,0.6680
0,105,0.6145,0.6547
0,110,0.6215,0.6574
0,115,0.6172,0.6586
0,120,0.6217,0.6645
0,125,0.6195,0.6547
0,130,0.6248,0.6543
0,135,0.6035,0.6816
0,140,0.6131,0.6711
0,145,0.5960,0.6824
0,150,0.6208,0.6504
0,155,0.6012,0.6805
0,160,0.6167,0.6621
0,165,0.6040,0.6750
0,170,0.5965,0.6789
0,175,0.5949,0.6781
0,180,0.6006,0.6832
0,185,0.6133,0.6660
0,190,0.5988,0.6738
0,195,0.5971,0.6734
0,200,0.5945,0.6824
0,205,0.5988,0.6746
0,210,0.6035,0.6734
0,215,0.5921,0.6848
0,220,0.5861,0.6898
0,225,0.6001,0.6867
0,230,0.6083,0.6715
0,235,0.5937,0.6781
0,240,0.5994,0.6801
0,245,0.6171,0.6676
0,250,0.6077,0.6684
0,255,0.5988,0.6844
0,260,0.5992,0.6762
0,265,0.5904,0.6840
0,270,0.5916,0.6777
0,275,0.5954,0.6766
0,280,0.6069,0.6699
0,285,0.6072,0.6742
0,290,0.6015,0.6734
0,295,0.6035,0.6859
0,300,0.5973,0.6828
0,305,0.6063,0.6805
0,310,0.5805,0.6910
0,315,0.5959,0.6848
0,320,0.5992,0.6910
0,325,0.5787,0.6949
0,330,0.6123,0.6652
0,335,0.5994,0.6785
0,340,0.5974,0.6789
0,345,0.5937,0.6910
0,350,0.5763,0.6961
0,355,0.6037,0.6777
0,360,0.5849,0.6906
0,365,0.5930,0.6887
0,370,0.6005,0.6875
0,375,0.5860,0.6941
0,380,0.5947,0.6805
0,385,0.5918,0.6953
0,390,0.5810,0.6988
0,395,0.5922,0.6984
0,400,0.5787,0.7016
0,405,0.5843,0.6934
0,410,0.5957,0.6785
0,415,0.5784,0.6902
0,420,0.5880,0.6863
0,425,0.5915,0.6828
0,430,0.5842,0.6953
0,435,0.5804,0.6977
0,440,0.5983,0.6770
0,445,0.5836,0.6941
0,450,0.5948,0.6836
0,455,0.5966,0.6797
0,460,0.6060,0.6730
0,465,0.5792,0.6934
0,470,0.5890,0.6809
0,475,0.5891,0.6906
0,480,0.5795,0.7031
0,485,0.5861,0.6937
0,490,0.5881,0.6922
0,495,0.5833,0.7055
0,500,0.5827,0.6863
0,505,0.5846,0.7047
0,510,0.5902,0.6875
0,515,0.5902,0.6871
0,520,0.5880,0.6910
0,525,0.5894,0.6992
0,530,0.5780,0.6937
0,535,0.5709,0.7016
0,540,0.5887,0.6887
0,545,0.5853,0.6906
0,550,0.5789,0.6914
0,555,0.5876,0.6863
0,560,0.5797,0.6980
0,565,0.5807,0.7004
0,570,0.5951,0.6832
0,575,0.5768,0.6996
0,580,0.5645,0.7063
0,585,0.5817,0.6949
0,590,0.5785,0.6926
0,595,0.5803,0.6883
0,600,0.5615,0.7188
0,605,0.5721,0.7051
0,610,0.5742,0.7039
0,615,0.5924,0.6879
0,620,0.5755,0.6969
0,625,0.5817,0.6941
0,630,0.5719,0.7043
0,635,0.5797,0.6918
0,640,0.5770,0.6965
0,645,0.5937,0.6801
0,650,0.5795,0.6832
0,655,0.5803,0.6941
0,660,0.5626,0.7012
0,665,0.5786,0.6961
0,670,0.5808,0.6957
0,675,0.5705,0.7070
0,680,0.5727,0.7004
0,685,0.5812,0.6957
0,690,0.5771,0.6969
0,695,0.5855,0.6945
0,700,0.5777,0.7047
0,705,0.5777,0.7020
0,710,0.5826,0.6930
0,715,0.5753,0.7023
0,720,0.5684,0.7012
0,725,0.5774,0.6941
0,730,0.5732,0.7039
0,735,0.5682,0.7086
0,740,0.5834,0.6918
0,745,0.5822,0.6992
0,750,0.5702,0.7082
0,755,0.5785,0.7039
0,760,0.5824,0.6895
0,765,0.5671,0.7176
0,770,0.5743,0.6988
0,775,0.5812,0.6980
0,780,0.5571,0.7215
0,785,0.5883,0.6926
0,790,0.5684,0.7121
0,795,0.5748,0.7172
0,800,0.5839,0.6934
0,805,0.5808,0.6926
0,810,0.5792,0.6977
0,815,0.5688,0.6965
0,820,0.5676,0.7000
0,825,0.5679,0.7012
0,830,0.5780,0.6945
0,835,0.5848,0.6941
0,840,0.5786,0.6977
0,845,0.5765,0.6988
0,850,0.5768,0.6996
0,855,0.5690,0.7023
0,860,0.5714,0.6949
0,865,0.5647,0.7180
0,870,0.5808,0.6906
0,875,0.5575,0.7125
0,880,0.5613,0.7211
0,885,0.5755,0.6988
0,890,0.5760,0.6996
0,895,0.5740,0.7027
0,900,0.5599,0.7227
0,905,0.5591,0.7184
0,910,0.5638,0.7090
0,915,0.5643,0.7086
0,920,0.5781,0.6930
0,925,0.5797,0.7043
0,930,0.5787,0.7031
0,935,0.5684,0.6992
0,940,0.5761,0.6957
0,945,0.5676,0.7164
0,950,0.5640,0.7105
0,955,0.5605,0.7164
0,960,0.5740,0.6992
0,965,0.5689,0.7086
0,970,0.5582,0.7215
0,975,0.5668,0.7035
0,980,0.5704,0.7051
0,985,0.5643,0.7121
0,990,0.5634,0.7129
0,995,0.5718,0.7023
0,1000,0.5693,0.7020
0,1005,0.5580,0.7051
0,1010,0.5650,0.7059
0,1015,0.5718,0.7117
0,1020,0.5618,0.7117
0,1025,0.5525,0.7191
0,1030,0.5719,0.7043
0,1035,0.5677,0.7094
0,1040,0.5662,0.7023
0,1045,0.5513,0.7285
0,1050,0.5643,0.7191
0,1055,0.5647,0.7035
0,1060,0.5515,0.7234
0,1065,0.5470,0.7223
0,1070,0.5594,0.7090
0,1075,0.5654,0.7113
0,1080,0.5601,0.7195
0,1085,0.5493,0.7219
0,1090,0.5480,0.7227
0,1095,0.5731,0.7000
0,1100,0.5565,0.7156
0,1105,0.5655,0.7133
0,1110,0.5660,0.7078
0,1115,0.5514,0.7109
0,1120,0.5676,0.7051
0,1125,0.5487,0.7156
0,1130,0.5632,0.7051
0,1135,0.5524,0.7145
